Symbol	DEMO_Array_S01	DEMO_Array_S02	DEMO_Array_S03	DEMO_Array_S04	DEMO_Array_S05	DEMO_Array_S06	DEMO_Array_S07	DEMO_Array_S08	DEMO_Array_S09	DEMO_Array_S10	DEMO_Array_S11	DEMO_Array_S12
ABCC11	1.5	0.4	2.3	0.2	2.2	0.4	3.4	4.5	78.2	4.6	0.4	29
ABCC12	157.6	10.9	1.2	98.6	2.1	13.1	14.1	407.7	0.8	20.7	35.4	5
ABCC2	2.2	0.1	5.8	164.9	6.7	1	5.4	3.1	1.3	1.4	11.5	225.5
ABCC3	82.7	12.1	98.1	9.4	99.3	5	1.1	4.9	0.6	27.2	0.6	1.7
ABCC4	41.2	0.7	5	0.8	13.5	29	5.7	8.3	26.6	3.9	2.7	406
ABCC5	1.6	25.3	0.7	2.8	4.5	0.2	3.2	2.5	2.8	0.3	4.4	4.2
ABCC6	47	2.6	13.3	5.7	4.9	0.2	6.7	1.1	21.1	4.7	1.2	23.3
ABCC9	7.3	53.3	2.1	2.2	22.1	26.6	1.6	4.1	1.8	2.1	35.2	0.4
ABCD1	24.2	13.9	21.3	109.4	1.2	26.8	8	1.4	50.7	21.3	0.0885	2.9
ABCD2	0.6	5.8	14.3	30	7.6	10.9	14.1	10.5	4	146.2	0.3	2.4
ABCD3	66.3	9.7	196.4	195.1	10.2	0.5	69.4	12.5	48.6	0.4	16.7	6.2
ABCD4	311.5	0.7	0.2	103	1.2	450.7	10.3	18	8	2.2	68.4	7.2
ABCE1	5.8	1082.6	0.2	218.2	2.7	2.9	4	8.2	4.8	0.2	1.9	1
ABCF1	0.5	10.5	70.7	4.3	11.8	3.4	57.2	4.4	10.7	6	50.9	1.4
ABCF2	9.1	1.1	26.2	5.5	5.2	0.2	3.2	10.6	3.3	109.2	2.8	24.2
ABCF3	29.8	0.3	0.0547	45.3	6.2	2.1	3.8	3	29	4.1	7.4	37.3
ABCG1	0.1	1.3	16.4	109.4	7.2	36.5	4	6.3	0.0317	2.8	10.7	3.1
ABCG2	6.4	91.9	0.1	37.7	0.2	1	8	21	7.9	14.2	15.1	22.3
ABCG4	4.4	1.5	5.2	0.4	0.8	1.7	1484.7	7.9	55.3	3.4	15.1	0.1
ABCG5	3.1	6.9	15.6	5.9	155.7	1.2	30.5	49.6	1.3	11.1	438.4	9.8
ABCG8	28	42.8	0.7	64.2	0.0777	3.9	12.7	0.3	0.7	6.4	1.2	2
ABHD1	1.5	8.7	16.9	4.8	5.9	4.4	81.2	1.1	0.1	22.9	9.4	93
ABHD10	5.9	7.3	1.4	8.2	38.4	0.1	23.2	3.3	1.5	1.2	3.6	21.2
ABHD11	2.6	0.3	53.3	1.2	1.3	1.2	26.1	0.4	1	1	26.1	0.7
ABHD12	16	6.4	1.8	6.7	206.7	0.4	13.3	10.7	3.1	8.8	0.7	19.6
ABHD12B	9.4	1.4	0.4	201.3	22.5	44.5	0.2	1.4	0.3	0.7	37.4	0.2
ABHD13	7.9	1.1	8.9	2.3	0.7	3.8	23.5	1.3	6.3	1.7	280.4	2.6
ABHD14A	1.4	20.8	2.5	16.1	5.9	95.7	26.6	6.4	41.3	0.6	0.2	3.2
ABHD14A.ACY1	0.8	13.2	3.1	0.7	5.1	3.6	22.6	4.6	5.8	1	3.4	22.4
ABHD14B	72.9	10.2	593.4	2.9	0.2	1.3	0.3	7.7	1	1.1	3.6	0.3
ABHD15	30.2	0.7	8.5	0.3	20	45.7	13.7	22	7.8	3	2.2	0.6
ABHD16A	10.3	0.2	6.9	22	3.3	2.2	3.4	0.7	1.6	3.3	0.5	0.4
ABHD16B	0.9	1	0.9	46.3	4.7	3.6	0.4	9.2	2.9	7.4	9.7	1.3
ABHD17A	0.0363	20.3	0.9	0.8	4.9	2.7	21	89.3	12.8	57.1	54.1	11
ABHD17B	22.6	62.7	10.3	9	2.8	9.1	40.3	0.3	3.3	2.6	1.5	89.8
ABHD17C	5.5	7.1	0.0435	1	8.3	4.1	28.5	9.9	3.4	428.6	18.7	22.1
ABHD2	0.0976	10.3	0.3	30.1	0.7	1.5	51.4	59.5	19.5	235.8	10.7	4.7
ABHD3	146.8	3.4	4.6	6.8	0.2	1.6	16.4	10.1	8.1	97.4	0.7	2.4
ABHD4	3.4	1.5	14.6	7.5	1.2	4.9	0.5	2.4	0.4	2.3	11.1	7.1
ABHD5	55.6	6.1	0.6	32.4	10.7	42.7	3.4	64.6	28.7	2.8	25.5	8.2
ABHD6	83.6	6.7	2.9	2	17.5	1.6	0.4	0.8	0.5	0.4	1.2	9.6
ABHD8	1.8	288.6	11.3	2.8	2.4	16.6	3.6	24.2	2.8	16.1	0.2	0.2
ABI1	3.1	42.5	18.5	18.4	98	0.3	0.1	1.1	13.1	1.9	3.8	0.5
ABI2	1.3	6.2	11.7	16.4	1.5	14.5	3.9	11.6	0.5	0.6	1.7	10.6
ABI3	7.6	15.6	2.7	0.1	0.0592	0.2	3.5	3.9	0.5	11.4	3.6	12.7
ABI3BP	1.7	9	3.2	316.9	3.4	2.6	1.2	52.3	7.2	119.1	0.3	82.1
ABL1	31	1.4	4.5	14.3	12.1	0.8	7.9	49.3	24.1	28.3	5.6	2.5
ABL2	20	5.4	4.3	98.3	5.4	2.6	30.5	9.5	1.9	2	7.5	38.3
ABLIM1	59	3.3	0.7	0.3	13.5	66.8	0.5	1	13	0.3	10.1	1
ABLIM2	0.4	12.1	10.5	2.9	0.2	1.3	6.8	1.2	11.1	6.5	6.5	7.4
ABLIM3	4.3	0.0897	13.9	3	3	6.6	46.3	3.5	19.2	18.1	4.8	10.9
ABR	9.4	2	0.2	4.3	41.7	1.3	1.3	10.2	13.9	1.4	2.2	43.4
ABRA	1.3	32.7	3.9	11.6	2.6	16.9	119.6	0.1	3.4	9.3	2.8	0.8
ABRACL	11.3	8.9	1.7	8.9	17.9	0.6	0.4	15.4	2.1	17.5	6.4	9.6
ABT1	1	2	34.5	9.2	0.6	6.2	20.1	0.9	3.3	20.8	5.1	0.4
ABTB1	20.9	4	171.5	1	14.9	1	1.7	79.4	1.3	3.2	0.4	3.9
ABTB2	52.2	192.2	23.1	2.5	3.2	52.1	1.6	7.2	0.2	9.5	30.9	2.2
ACAA1	18	1.4	1.2	3.5	1.2	88.7	0.9	7.2	54.7	308.5	2763.9	15.6
ACAA2	4.3	0.7	215.1	9.3	6.5	13.5	17.8	30.7	23	7.7	9.2	3.5
ACACA	0.9	22	129.1	3.9	257.4	5.3	0.0503	26.7	5.5	2.8	5.5	1.5
ACACB	22.9	6.5	2.3	13.6	28.6	5.4	29.8	3.1	0.6	131	0.4	0.2
ACAD10	20.5	6.4	5.9	14.7	0.3	1.1	7	0.6	11.9	0.6	0.3	29.1
ACAD11	1	11	22.4	58.5	42.7	2	12.3	2.2	0.4	1.7	0.1	36.7
ACAD8	22.8	19.5	0.2	9.8	1.1	1.2	1.2	30.3	12.5	12.3	4.7	4.9
ACAD9	29.7	1.1	350.3	0.8	0.2	1499.3	7.2	5.2	12.2	198.5	8.7	1.4
ACADL	7.7	2.8	7.7	6.8	8	0.4	12.6	0.079	1.8	1.8	7.8	13.1
ACADM	0.4	1.3	3.2	13.9	197	0.3	2.6	3.2	1.1	0.7	0.3	20.1
ACADS	75.6	32.2	3	7.1	0.4	0.0497	1.4	19.7	41	1.6	1.8	1
ACADSB	9	2.7	0.0983	0.9	2.2	7.2	8.9	2.5	4.3	17.8	3.7	10.9
ACADVL	3.3	0.7	1	43.5	1	1.7	0.2	29.4	0.9	7.8	1.9	10.2
ACAN	4.8	12.5	14.3	11.3	49.4	11	0.4	3.5	0.2	0.9	0.4	3
ACAP1	1.5	67.4	15.7	5.1	7.3	34.1	15.6	16.7	3.8	220.9	1.6	8.2
ACAP2	0.0811	0.4	0.2	0.7	26.3	18.1	3.9	1.9	5.9	2.9	51.3	0.5
ACAP3	2.3	7	120.3	20.8	1.8	5.5	26.4	246	12.5	0.7	0.4	19.6
ACAT1	4.7	3.4	7.7	0.7	1.9	7.4	4.2	54	0.5	1	6.1	50.5
ACAT2	6	10.9	7	10.3	4.4	10.8	384.5	6.9	0.5	2.2	0.7	9.7
ACBD3	5.3	10.1	20.6	0.7	3.9	0.9	1	20	16.3	7.2	22.4	24.4
ACBD4	25.9	1.1	1.4	2.5	12.7	0.8	3.8	87.3	97.1	1.9	66.8	0.2
ACBD5	6.4	7.6	12	4	11.4	63.9	2.2	83	6.7	1.2	4.7	23.6
ACBD6	0.3	33.6	20.6	11.9	1.4	228.6	4.7	1.6	18.7	0.3	1.9	1.1
ACBD7	1.1	8.1	30.4	3.5	14	18.3	4	167.1	1.4	32.9	16.9	15.8
ACCS	20.6	9.1	0.4	2.4	2.4	2.6	5.8	14.4	1.7	143.9	2.4	3.6
ACCSL	33.6	5.9	0.3	1.4	2.2	23.8	13.1	4.9	140.8	11.3	17.6	0.6
ACD	6.5	4.1	14.3	9	10.8	47	0.6	3.4	28.1	1.9	1.6	4.5
ACE	71.1	2.8	2.4	1.9	1.6	39.8	36.8	0.6	11.5	5.2	7.6	18.2
ACE2	22.6	20.1	2.4	6.3	62.2	0.3	5.7	3.5	2.6	13.9	120.8	1.1
ACER1	41.5	18.6	6.3	49.6	3.9	6.1	5.2	0.4	0.8	3.2	1.2	1.5
ACER2	14.9	27	2.3	3.5	0.7	0.6	0.7	0.2	9.2	19.1	80.5	54.1
ACER3	1	0.2	3.4	260.9	10.4	61.5	7.8	5.7	14.6	6.8	0.9	0.2
ACHE	13.6	14	48.8	10.7	77	29.7	90.6	24.9	23.7	20.5	27.5	0.6
ACIN1	8.2	2.6	2.2	0.5	0.1	15.3	3.3	0.4	29.5	3.8	38.1	3.8
ACKR1	23.1	14.5	6.7	1.3	3.1	13.7	76.1	0.7	15.4	2.5	306.6	10.4
ACKR2	1.7	0.2	12.6	10.7	4.6	10.5	11.4	10.6	3.1	30.9	10.3	0.8
ACKR3	0.9	7.6	6.4	5.9	39.4	0.8	7.1	15	2	1.2	8.3	4
ACKR4	13.4	32.8	11.8	7.4	1.8	0.4	4.8	1.7	1.6	29.8	0.5	0.9
ACLY	50.5	23.2	0.7	13.6	29.8	0.0969	12.4	7.9	6.6	3.2	0.0623	0.6
ACMSD	11.8	0.2	0.3	0.2	1.8	1.4	6.6	7	4.5	11	0.4	13.7
ACN9	30.8	19.6	60.9	165.6	1.4	183.6	7.3	11.7	6.4	0.4	5.5	0.8
ACO1	0.2	1	11.9	13	10.6	49	2.2	0.6	0.2	13.9	0.2	0.6
ACO2	5.6	0.0637	2.6	0.2	24.6	16.9	4.3	0.0416	0.0514	1.7	2.8	4.7
ACOT1	24.9	3	31.1	2	1.1	7.4	0.1	6.5	0.6	13.8	0.0311	27
ACOT11	12	6.3	1.5	1.5	22.4	26.2	2	16.8	3	0.5	2.1	20.4
ACOT12	20.6	18	7.8	7.3	20.3	283.9	15.1	7.4	5.7	5.4	4.7	2.5
ACOT13	7.7	9.5	1.9	2.3	6	1.2	0.2	2	40.2	142.3	2.5	5.5
ACOT2	0.3	0.7	6	15.1	24.7	1.2	6.8	12.2	0.8	59.4	2	8.3
ACOT4	9.3	87.8	4.5	6.7	0.5	2.1	1	9.3	7.4	1.4	3.8	0.9
ACOT6	1.7	0.5	12.8	0.1	2.4	0.5	0.9	22.8	2	78.8	4.9	1
ACOT7	0.4	34.6	11	0.6	93.1	8.9	3.6	0.3	1.1	3.4	3.4	2.1
ACOT8	1.2	4.8	1.2	9.8	29.5	12.5	0.9	1.2	1.1	8.1	6.4	3.6
ACOT9	6.4	4.7	2.6	13.3	53.4	46.4	1.8	19.7	0.4	10.4	85.8	4.3
ACOX1	327.5	19.6	8.4	22.8	12.8	1.6	0.0511	18.4	0.5	8	80.8	1.3
ACOX2	3.8	27.1	1.8	1.5	0.6	2	44.5	0.5	5.3	46.9	3.6	0.6
ACOX3	0.4	1.6	78.1	1.8	7.4	11.6	3.6	0.7	18.5	0.1	0.5	2.3
ACOXL	0.3	2.3	3.3	28.3	18.6	4.2	16.6	10.4	1.2	9.1	12.8	101
ACP1	0.6	26.8	1.6	10.1	3.5	2.8	0.2	0.2	0.9	0.5	55.5	5.7
ACP2	3	25.1	0.2	20.5	330.5	5.6	0.5	0.2	0.8	2.9	0.6	7.2
ACP5	6	4.7	5.3	2.4	30.8	5.6	1.8	37.6	11.8	6.5	3.7	1.7
ACP6	121.3	3	2.5	3.5	2.5	18.5	0.4	96.2	20.6	32.2	2.5	18.6
ACPP	3.6	4.2	11	15.5	1.5	47	33.5	19.6	11.5	42.3	1.3	5.1
ACPT	0.1	75.1	1.8	134.7	0.1	1.3	8.5	10.1	2	0.9	21.5	0.4
ACR	24	27.9	48.1	3.3	5.2	16.1	9	17	0.7	74.7	1.2	0.9
ACRBP	1.9	2.3	25.4	9.6	20.6	2.8	0.3	0.9	1.2	148.4	1.4	78
ACRC	4.9	12.6	1.4	1.8	3.8	0.0689	9.3	9.2	8.9	109.4	0.4	1
ACRV1	15.9	0.2	5.5	13.3	4.5	50.9	0.9	6.5	1.5	8.2	12.6	15
ACSBG1	162	5.2	4	42.6	1	25	2.4	7.2	26.8	0.7	21.4	0.2
ACSBG2	0.7	12.6	4.8	7	0.0412	11.5	6.6	205.3	11.8	3.9	66.3	118.1
ACSF2	6.5	1.9	22.9	1.9	0.8	9.3	3.4	16.4	17.8	0.7	38.8	85.1
ACSF3	11.2	1.1	1.2	4.4	18.4	3	10.1	7.3	2.2	12.3	5.6	20.5
ACSL1	4.6	10.9	0.2	1.1	5	7.7	6.1	69.3	7.3	4.6	1.9	3.7
ACSL3	0.2	4.3	5.6	0.3	1	0.3	215.2	3.1	7.2	0.6	0.068	0.4
ACSL4	8	3	0.4	36	13.1	15.7	0.3	7.7	5	3.3	9.3	0.2
ACSL5	0.7	0.0552	0.3	0.5	1.6	13.3	0.5	77.7	0.4	7.3	18.5	41.7
ACSL6	0.2	25.8	0.9	1.4	15.5	12.1	64.4	4.8	5.3	1.1	15.5	1.3
ACSM1	5.6	2.2	5.8	1.5	0.4	21.1	0.4	1.5	3	8.7	0.3	1.1
ACSM2A	6.4	0.6	3.5	33.3	5.4	1.7	53.4	78.3	0.4	0.4	18	6.8
ACSM2B	7.6	1.8	23.3	25.6	3.7	1.5	1.3	1.8	80.1	0.1	0.7	33.5
ACSM3	3	66.2	2.5	0.4	6.4	7.2	7.7	0.9	0.0724	0.2	3.7	9.1
ACSM4	10.4	12.4	0.4	41.5	38.7	2.4	6	3.1	1.3	120.7	1.3	7.9
ACSM5	12.5	4.7	2.4	2	1.2	11	2.5	54.6	1	7	2.2	1.2
ACSM6	10.1	52.8	0.3	4.9	1	21	0.3	2.6	5.4	1.2	32.4	2.2
ACSS1	76.2	29.8	34.1	7.6	5.2	68.8	44	0.0826	3.5	7	2.8	85.9
ACSS2	13.1	41.3	6.9	6.2	2.5	3.5	1.6	1.7	1.5	4	0.9	1
ACSS3	1.5	27.3	2.6	5.2	0.4	10.9	53.1	9.4	10.8	91.7	8	0.9
