Symbol	DEMO_RNAseq_S01	DEMO_RNAseq_S02	DEMO_RNAseq_S03	DEMO_RNAseq_S04	DEMO_RNAseq_S05	DEMO_RNAseq_S06	DEMO_RNAseq_S07	DEMO_RNAseq_S08	DEMO_RNAseq_S09	DEMO_RNAseq_S10	DEMO_RNAseq_S11	DEMO_RNAseq_S12	DEMO_RNAseq_S13	DEMO_RNAseq_S14	DEMO_RNAseq_S15	DEMO_RNAseq_S16	DEMO_RNAseq_S17	DEMO_RNAseq_S18	DEMO_RNAseq_S19
AATK	1451	3	28	3	94	417	11	214	10	672	379	150	9	239	15	465	5	219	33
ABAT	2	63	5	26	9	8	45	22	80	13	5	386	132	24	134	24	1258	491	36
ABCA1	1	58	34	41	63	80	6	3	39	31	83	1617	88	6	3	106	23	2364	147
ABCA10	25	94	26	15	32	18	250	297	2	174	28	40	4	15	4	34	233	2	120
ABCA12	15	8	46	58	4	24	27	54	604	576	24	163	60	230	31	14	8	180	99
ABCA13	41	45	14	23	1063	362	397	152	20	8	16	8	23	96	22	2	96	53	26
ABCA2	221	41	202	1	17	299	1417	5	16	316	14	1228	33	107	789	327	223	200	1293
ABCA3	9	946	3	8	42	44	97	223	38	41	22	13	71	48	7	80	477	26	816
ABCA4	39	99	26	490	40	112	14	1	31	3	6	1770	236	305	74	0	208	13	21
ABCA5	218	378	2	19	91	10	520	55	86	51	337	8	16	37	5	207	190	48	369
ABCA6	2506	72	18	142	92	6	20	585	1005	3	17	802	85	4780	8	134	40	59	6
ABCA7	61	33	88	37	29	20	15	78	745	121	11	4	383	1493	91	7	9	5	17
ABCA8	5001	6	13	811	16	211	43	176	35	15	43	226	133	120	269	4	2	65	19
ABCA9	2	115	21	1	16	21	71	67	9	48	17	229	21	119	49	38	75	7	17
ABCB1	1	359	149	1192	127	6	480	15	3	38	34	186	177	7	92	32	0	14	5
ABCB10	3	42	10	85	3	22	3	140	11	54	115	19	77	20	64	15	91	31	9
ABCB11	233	790	64	139	153	19	48	277	10	483	206	36	4	25	15	12	1	47	11
ABCB4	1	1262	346	65	224	283	26	132	137	87	127	127	48	415	43	190	39	93	49
ABCB5	511	60	12	480	42	162	44	14	3	46	102	5	3	13	112	197	15	1132	22
ABCB6	74	10	537	6	112	412	7	36	7	15	124	21	4	345	29	1295	30	4	115
ABCB7	6	7	36	1	54	6	18	46	19	737	101	4	4	32	21	70	241	31	38
ABCB8	4	17	422	17	13	391	142	2	2	275	8	74	1	41	35	490	83	396	166
ABCB9	11	748	31	44	71	18	42	74	26	19	158	98	389	243	9	78	41	33	8
ABCC1	10	9160	15	383	22	1131	81	15	1	145	3335	33	76	11	2551	2167	65	16	489
ABCC10	8	43	22	23	575	188	6	38	153	178	150	331	84	566	36	22	4607	91	32
ABCC11	188	37	34	41	56	44	45	26	423	2	90	125	57	1	70	4863	78	148	118
ABCC12	61	49	6	131	2	86	1024	2	181	131	256	19	13	1	89	226	6	101	431
ABCC2	3067	45	10	278	4	58	72	16	11	63	101	9	4	55	22	79	92	52	9
ABCC3	8994	17	136	52	39	494	166	2706	347	16	66	403	15	1	133	222	0	252	1
ABCC4	30	12	1098	74	37	152	16	48	922	104	46	34	6	30	151	505	5	50	19
ABCC5	65	664	18	164	61	121	48	8	573	118	507	81	3	15	58	353	27	11	94
ABCC6	134	176	3	32	1951	118	76	211	53	131	31	22	639	12	10	110	3	42	15
ABCC9	77	151	246	185	39	1	2	1	63	127	176	69	6	17	181	2	141	1	5
ABCD1	50	125	44	31	160	10	13	15	51	41	22	41	43	47	33	349	79	226	4
ABCD2	101	5	12	4777	5	25	148	19	2	18	99	100	30	33	57	1431	8	20	658
ABCD3	519	1028	32	524	217	9	12	153	327	133	5	121	1234	2	71	78	7	124	847
ABCD4	3	14	38	9	6253	696	3	15	39	6	28	271	43	546	53	279	6	60	15
ABCE1	14	1	99	19	43	35	76	80	83	34	13	5	14	3	3	1	907	52	47
ABCF1	5	162	4454	33	16	168	178	32	33	920	18	447	5	100	68	64	179	3	174
ABCF2	275	3	5	6	4	21	31	207	46	171	1207	51	712	3	3	100	26	18	7
ABCF3	953	65	55	63	23	3	11	134	321	26	14	14	33	3	55	2126	14	17	367
ABCG1	236	174	68	11	3	5	485	212	7	357	57	16	189	95	71	87	604	683	71
ABCG2	10	167	5	127	220	285	20	77	80	21	27	224	490	55	91	236	952	70	116
ABCG4	21	10	304	276	26	142	50	134	10	5853	113	8	459	33	549	5	244	2	65
ABCG5	87	11	59	750	277	129	3	2	10	15	18	111	392	277	143	41	2538	102	8
ABCG8	38	82	80	45	208	1	2	1	9	99	89	12	297	223	1	10	1	81	20
ABHD1	23	172	594	167	7	10	16	579	41	135	779	482	13	65	286	102	34	43	11
ABHD10	55	54	27	47	4	37	8	103	281	122	289	82	1	8	5	44	151	42	2
ABHD11	2	2	5	89	73	3	17	41	271	22	707	210	375	30	366	60	278	40	63
ABHD12	18	31	28	12	17	2	8	1	129	74	122	36	211	475	1400	1	4	48	244
ABHD12B	1	133	27	47	273	25	52	43	9	80	2	1	10	54	34	108	3732	6	3
ABHD13	23	66	163	4	11	69	15	225	14	50	1	48	320	30	23	266	857	3	14
ABHD14A	608	663	160	23	7	26	158	60	57	49	8	17	8	3	14	16	59	8	717
ABHD14A.ACY1	15	22	2	673	95	13	28	1	29	386	41	507	7	601	128	88	8	266	83
ABHD14B	2	15	31	30	231	683	31	4673	1175	529	440	18	72	160	5	15	34	30	233
ABHD15	1	228	69	57	32	134	75	3	904	277	4	2	5	10	94	1	1	84	319
ABHD16A	37	31	216	1110	14	42	172	125	22476	40	17	31	453	3	630	139	2	119	64
ABHD16B	10	63	122	7	3	94	6	213	27	56	15	3	766	11	8	10	154	32	574
ABHD17A	1249	6	22	8	57	38	3	413	72	31	161	122	8	11	5	44	414	26	172
ABHD17B	15	2	80	6	216	42	78	3	713	67	12	155	23	11	10	217	42	41	4
ABHD17C	3	25	5	1037	21	52	74	16	47	1	48	17	62	108	90	465	15	78	41
ABHD2	35	66	20	99	76	2	71	567	5	2955	19	16	11	89	7	2	347	14	4
ABHD3	41	313	6	124	57	2	85	24	11	699	3	204	66	349	5	7	141	37	65
ABHD4	633	61	12	57	480	28	120	141	8	211	2	1	12	2870	305	635	183	40	67
ABHD5	140	204	14	18	21	11	3	35	127	7	153	168	19	15	21	206	167	58	5
ABHD6	21	48	0	11	43	143	65	2	79	4	0	10	77	14	50	113	1	37	113
ABHD8	113	67	2	878	17	6	113	76	783	102	51	1893	1	70	3	1	5	41	161
ABI1	131	241	20	136	477	82	30	67	44	112	6	10	124	32	16	12	20	152	50
ABI2	192	26	37	5061	17	41	6	52	53	26	3	339	42	12	59	51	245	152	345
ABI3	25	191	11	3	2251	7	50	247	287	14	28	222	4	9	2	65	70	27	471
ABI3BP	50	1023	6	9	121	1	82	161	20	33	2	5	623	19	5	64	233	8	51
ABL1	2	196	41	76	2	8	43	535	4	466	1	32	2052	74	3	57	120	56	31
ABL2	11	2	16	5	157	6	80	4	211	21	127	1	34	596	279	107	517	29	518
ABLIM1	18	7	8	20	38	13	10	79	3108	14	12	86	0	74	0	314	82	627	26
ABLIM2	14	3	6	9	16	56	29	14	23	2131	51	134	286	443	12	117	75	146	68
ABLIM3	7	55	129	418	5	27	470	142	30	62	1519	78	17	2045	1	2	910	124	85
ABR	60	2	336	4	94	28	54	111	9	4	17	8	73	18	734	57	10	121	54
ABRA	110	6	52	2297	13	25	11	4	1091	7	405	63	20	24	159	1523	6	50	496
ABRACL	19	12	13	8	16	128	120	279	22	249	991	112	89	73	155	17	2	67	12
ABT1	135	22	57	93	235	128	1209	122	1161	217	7	2	267	20	161	54	62	66	12
ABTB1	30	42	41	28	271	6	11	81	99	33	94	20	9	10	49	3	8	6	150
ABTB2	225	18	1	115	2143	13	1	40	369	114	29	20	7	60	53	905	845	71	3
ACAA1	21	72	109	2	1	101	53	21	1	62	3	11	303	109	222	13	2564	27	2
ACAA2	21	72	6	725	9	12	35	129	79	44	159	603	883	361	1412	88	2985	134	198
ACACA	3	173	4	117	56	7	50	846	47	341	1	42	59	188	97	68	1075	1	20
ACACB	157	15	170	19	2	16	152	158	28	8	4	81	9	17	280	3633	742	22	146
ACAD10	282	21	19	4	8	141	49	2	767	103	2	292	1	800	46	26	86	117	219
ACAD11	186	41	25	72	23	195	10	35	22	74	293	106	132	278	2	400	6	140	3
ACAD8	22	477	205	35	62	13	35	11	45	10	186	6	163	9	91	129	301	9	1
ACAD9	643	35	4	273	1351	45	6	1864	12	13	17	2	6	269	8	48	62	306	78
ACADL	2	73	37	447	20	91	29	45	226	2	11	50	69	18	188	124	51	96	18
ACADM	323	4259	173	55	92	333	18	4	14	3603	81	1502	36	32	10	15	44	395	27
ACADS	82	20	51	47	135	48	28	31	6	29	697	661	14	401	16	47	415	2	8
ACADSB	189	2001	54	27	31	78	20	2	6	223	177	134	39	68	60	16	54	24	89
ACADVL	75	362	152	1	16	334	168	12	525	25	2	5	281	245	3	1	45	53	32
ACAN	7	144	11	140	113	83	338	201	23	53	13	3	58	13	647	126	251	55	787
ACAP1	580	26	2	1009	39	4	149	278	32	196	186	19	10	3	24	27	35	470	148
ACAP2	24	35	15	34	19	0	2	332	67	113	34	357	65	17	32	16	163	145	103
ACAP3	113	78	8	6	24	6	2	6	21	19	15	5	34	783	7	33	8	699	1
ACAT1	45	13	4	178	358	26	34	36	154	78	105	90	66	10	104	1287	1	12	15
ACAT2	25	467	41	17	73	10	1476	5	86	13	2	4	218	17	53	47	14	20	726
ACBD3	41	53	23	116	31	17	250	190	386	42	20	1229	10	28	6	17	9	160	58
ACBD4	12	11	201	103	137	190	4	97	330	670	3	22	4	2	213	1	110	254	22
ACBD5	22	812	20	7	147	185	9	23	15	22	63	1247	263	168	407	21	145	100	19
ACBD6	9	14	206	74	136	49	644	34	19	17	12	3	2395	150	4	68	5	53	75
ACBD7	12	94	547	31	7	5	229	116	257	177	697	22	35	68	2	27	114	4	125
ACCS	101	833	6	271	250	362	37	75	19	957	78	9	12	83	1	5	863	28	275
ACCSL	30	118	492	1	8	553	196	23	3244	87	20	3	4	20	34	4	5	29	666
ACD	33	391	108	203	185	30	14	132	367	64	6	45	5	122	8885	115	3	10	14175
ACE	20	46	6	116	10	16	13	18	38	545	71	42	185	17	369	58	281	303	3
ACE2	63	516	485	263	252	838	27	6	137	119	31	4	32	57	17	73	6	140	452
ACER1	311	230	27	145	1045	183	1781	49	27	31	2	25	4	180	79	7	180	4	11
ACER2	8	44	410	8	4	19	222	178	49	974	1	48	559	23	129	15	136	399	79
ACER3	8	6060	508	7	49	49	309	292	653	215	190	33	7	220	25	14	882	8859	992
ACHE	2124	287	1285	2	130	7	42	21	12	1	1	14	70	217	241	151	388	65	5
ACIN1	11	35	40	11725	64	21	128	17	73	1	33	1	22	64	2	31	34	114	97
ACKR1	22	23	31	254	115	18	15	9	1	38	7	25	90	27	33	14	3	49	60
ACKR2	129	10	1042	25	19	28	105	11	0	10	28	81	14	21	179	36	125	5	3
ACKR3	18	20	361	52	391	17	1855	49	11	22	242	65	20	393	3	4	57	665	44
ACKR4	2	3	3	4	48	194	185	29	11	14	1635	15	22	1519	966	74	62	14	46
ACLY	44	17	80	79	21	2	26	88	302	8	31	43	2	65	11	3230	7	39	107
ACMSD	35	551	23	161	15	20	17	4	457	15	490	204	6	4	252	190	40	24	166
ACN9	117	7	25	22	853	10	5	51	111	7	631	349	61	7	11	113	47	1711	13
ACO1	4	72	24	16	129	5	240	157	244	22	168	199	230	422	27	589	10	31	91
ACO2	89	5	15	10	64	73	28	56	3	154	5	19	9	142	3	5	5	14	90
ACOT1	95	1842	555	169	82	3	33	9	7	135	170	11	30	7	37	256	58	5	5
ACOT11	6	77	9	92	10	50	84	13	17	71	446	995	8	41	33	36	639	214	8
ACOT12	16	5	4	3	15	52	190	3	64	3	21	43	243	1	23	65	1	22	38
ACOT13	124	20	542	2	619	9	45	214	42	44	33	6	9	5	97	67	35	290	28
ACOT2	87	15	7	5	10	126	65	48	713	36	3	541	3890	30	25	5	84	156	23
ACOT4	210	174	110	150	41	908	2	139	35	84	3	13	11	330	4	1	1692	149	6
ACOT6	317	22	54	36	1	1187	24	135	170	6278	36	13	85	5	9	17	145	414	207
ACOT7	5	6	657	27	1	181	59	41	779	147	28	11	37	13	489	17	8	11	36
ACOT8	52	1	19	681	22	8	161	266	35	7439	9	23	137	148	24	632	1114	117	94
ACOT9	494	1	120	381	20	6	301	4	353	115	253	150	49	19	28	5	30	32	6
ACOX1	27	90	2	3	1	20	110	120	94	33	167	103	6	593	640	98	18	10	623
ACOX2	56	108	19	190	81	86	18	122	2	1002	18	236	8	431	112	84	388	52	69
ACOX3	59	411	39	20	1	36	16	453	680	13	7	35	7	2776	63	29	299	11	1139
ACOXL	27	8	219	8	59	248	3	56	323	51	795	28	126	6	2305	539	33	120	37
ACP1	17	4	1	41	3	245	483	40	76	179	1	115	137	73	17	209	143	9	184
ACP2	225	20	10	1609	3	12	70	164	2475	2	20	3512	21	225	50	36	695	1	21
ACP5	33	4	123	58	61	4162	181	449	5	32	19	106	674	8	88	8	13	27	318
ACP6	9	235	2	50	1857	6	169	883	526	56	89	78	276	7	556	44	11	221	1
ACPP	31	44	4	4	12	171	16	16	34	984	20	4	168	128	2	6	8	80	7
ACPT	86	1	5	88	101	45	33	118	59	7	2	27	96	885	1257	23	763	1616	27
ACR	57	26	0	35	80	4	5	198	82	201	7	386	9	97	60	148	58	611	40
ACRBP	81	143	467	12	261	35	430	14	7905	43	46	594	95	12	14	830	16	2	302
ACRC	41	34	59	42	3800	34	2331	914	504	103	1	51	66	535	0	22	2	174	256
ACRV1	78	6	604	43	14	1329	22	105	90	2	21	87	35	15	20	55	80	101	46
ACSBG1	202	44	209	171	168	33	383	33	38	29	44	105	53	9	5	142	78	6	1
ACSBG2	64	24	26	17	378	80	1	20	36	654	8	830	24	75	6	15	23	48	6
ACSF2	84	140	0	185	29	749	45	10	54	244	53	54	26	309	567	4	10	736	476
ACSF3	88	23	55	36	23	11	154	6	422	8	9	688	10	13	97	108	13	36	1009
ACSL1	1853	13	34	825	4	170	8	4	11	8	204	29	51	42	1	33	54	5	32
ACSL3	10	55	20	184	1117	50	50	9	64	6	52	32	965	124	766	10	6748	32	47
ACSL4	5	231	542	387	30	19	112	64	20	1364	4	19	197	1	15	2	3	26	35
ACSL5	753	43	329	52	24	504	773	279	159	1	324	182	232	174	8	14	15	14	580
ACSL6	43	183	732	230	194	1779	190	1155	13	178	5	47	163	31	7	37	10	2	3
ACSM1	36	9	8	324	16	2	12	98	9	78	16	9	57	6	15	7	2	3	5
ACSM2A	93	548	57	1222	15	122	23	13	106	14	1575	163	51	8	1037	280	50	11	28
ACSM2B	108	41	60	59	1	7	17	55	78	9	1074	26	102	817	44	46	193	27	11
ACSM3	19	13	206	12	14	15	60	6	351	238	11	119	81	975	16	496	14	21	85
ACSM4	5	16	132	5	257	14	120	104	3	2	128	68	1933	615	161	285	60	260	75
ACSM5	36	13	34	594	66	5	192	313	549	1302	190	5	202	48	64	11886	177	65	15
ACSM6	185	95	22	12	441	108	107	216	30	27	117	23	92	624	22	102	25	221	16
ACSS1	2	803	10	17	177	230	9	2	15	202	59	13	165	37	9	369	61	34	662
ACSS2	134	377	8	84	21	38	8	14	134	39	3	9	18	76	89	328	12	213	183
ACSS3	23	446	26	33	1717	2618	316	9	62	517	669	8	12	86	27	187	28	7	89
