Symbol	DEMO_RNAseq_S01	DEMO_RNAseq_S02	DEMO_RNAseq_S03	DEMO_RNAseq_S04	DEMO_RNAseq_S05	DEMO_RNAseq_S06	DEMO_RNAseq_S07	DEMO_RNAseq_S08	DEMO_RNAseq_S09	DEMO_RNAseq_S10	DEMO_RNAseq_S11	DEMO_RNAseq_S12	DEMO_RNAseq_S13	DEMO_RNAseq_S14	DEMO_RNAseq_S15	DEMO_RNAseq_S16	DEMO_RNAseq_S17	DEMO_RNAseq_S18	DEMO_RNAseq_S19
AASS	215.6	30.7	1.5	21.1	759.7	2.5	0.8	3.2	2	1.4	1.7	1.1	3.3	4	9.8	0.0954	17.2	2.9	14.5
AATF	31	11.6	13.6	25.3	5.7	2.6	13.9	16.9	1.1	29.4	0.5	8.7	0.7	21	1.9	3.1	15.3	7.5	0.5
AATK	1.9	7.1	28.3	13.4	19.7	91.2	17.6	1.4	2.3	5.4	7.3	0.2	6.9	0.3	2.6	5.5	8.4	0.3	1.4
ABAT	0.8	1.8	15.9	4.4	3.1	70	18.5	3	28.7	7.5	23.5	24.2	10.5	9.1	5.9	1.7	12.9	0.9	0.0789
ABCA1	42.7	1.4	6	0.6	15.3	1.2	1.3	0.7	10.5	0.3	0.2	8	1.1	2.5	5.6	4.7	7.2	14.7	34.2
ABCA10	1.7	5.7	4.9	1.4	7.2	0.3	20.4	110.3	2.8	3.8	0.1	0.4	18.6	5.3	4.9	3.1	4.9	104	4
ABCA12	3.5	4.6	1.4	0.5	1	1.5	2.5	75.3	5.4	3.8	20.1	7.5	8.6	6.9	2.8	20.3	1.3	0.8	1.2
ABCA13	16.6	0.5	10.9	1.2	106.5	2.6	2.9	3.9	2.9	12.1	1.7	8.8	21.8	109.2	26.5	5.3	22.1	0.3	5.9
ABCA2	2.5	31	0.0382	0.088	3.1	2	10.5	1.6	32.7	0.9	2.2	1.5	16.3	25.8	3	54.8	10.6	1.4	16.1
ABCA3	7.7	3.6	3	124.9	0.3	1	3.9	14.5	1.8	1.5	68.8	1.2	0.7	274.2	27.6	3.1	14.6	1.4	37.8
ABCA4	8.4	20.6	6.4	40.4	16	3.8	4	2.3	30.7	0.6	3.9	8.2	1.1	17	2.1	0.7	168.5	4.2	9.8
ABCA5	7.6	2.6	20.2	4.2	13.4	0.2	2.8	0.2	17.2	8.1	0.3	59.9	16.2	0.2	0.6	1	8.3	1.6	0.4
ABCA6	0.3	11.5	1.9	113.5	37.7	3.5	2.2	37.8	2.8	4.1	15	48.6	2.8	23.2	1.1	0.7	0.6	20.1	19.1
ABCA7	1.6	0.2	11.3	24	2.2	11.7	10.2	279.6	4.3	4.3	4.3	0.4	2.5	0.4	1.9	5.7	93.9	74.4	0.3
ABCA8	80.5	0.6	34.2	41.3	119	1.1	2.6	5.1	0.1	4.8	13.7	3.3	1.3	1	6.9	0.4	4.9	7.6	0.2
ABCA9	1.8	2.7	3.7	5.6	11.8	1.4	17.9	1	0.3	3.6	0.3	1.3	0.6	9.5	7.4	5.7	0.3	0.7	0.5
ABCB1	2.9	4.9	32.1	2.7	6.5	6.4	134.1	9.2	2.3	4.8	126.5	83	3.9	10.1	4.5	2.4	116.7	4.1	1.9
ABCB10	1.6	0.6	9.9	0.9	10.2	1.1	2.7	1	26.2	218.7	37.6	27.5	29.7	2.6	11.9	3.2	0.2	21.3	24.1
ABCB11	63	0.4	0.8	4.4	4.9	0.6	25.6	74.7	8.7	0.9	0.3	0.8	422.3	3.1	3.8	0.4	30.1	75.2	84.7
ABCB4	798.3	3.9	1.8	1	13.7	5.9	98.5	3.5	1.4	3.7	1.2	547.5	12.3	3.8	4.5	0.7	52.5	7.5	3.7
ABCB5	2.9	9.1	2.6	45.9	34.6	53.9	4.6	6.5	27.9	0.3	2	0.6	2.1	2.9	17.4	82	0.9	0.2	0.4
ABCB6	2.6	2.4	5.8	118.1	21.8	4.9	33.5	0.7	1.6	0.0653	48.4	3.6	0.8	7.4	24.5	39.5	0.5	2.2	5.5
ABCB7	1.8	8.1	6.8	0.5	2.5	2.7	2	3	2.4	201.6	4.3	6.4	18.7	1.6	0.3	15	3.1	0.5	0.2
ABCB8	0.6	1.7	47.4	3.2	6.9	59.2	303.9	9.8	2.1	15.9	12.2	10.4	3.6	7.4	1	65.2	11.2	3	34.6
ABCB9	4.9	28.5	1.9	67	44.5	5.1	1.5	1	2.7	1.2	10.5	2.8	137	2.6	8.5	3.5	29.9	27	0.9
ABCC1	0.9	135.8	3.2	11.3	32.3	42.1	7.3	0.6	0.4	2	1.6	30.3	6.2	0.5	5.5	7	0.2	1.2	111.5
ABCC10	2.8	0.9	4.6	16.1	2.4	5.1	0.4	27.1	5.7	10.7	22.5	11.5	6	6.5	0.7	28.6	14	1	0.9
ABCC11	1.9	1.9	23.7	2.7	1.2	1.5	49.6	3.1	6	48.9	0.0293	54.1	0.8	555.3	65.5	7.4	2.5	3.8	14.4
ABCC12	5.2	0.3	0.8	5.9	0.5	16.1	3.3	4.6	48.4	2.6	5.2	16.9	0.2	16	5.1	0.3	1.4	23.5	0.7
ABCC2	16	9	1.2	9.5	121.5	199.7	14.3	7.8	2.6	0.5	2.6	3	39.4	1.2	6.4	3.6	11.3	136.6	19.9
ABCC3	0.3	3.5	4.8	1.8	2.6	15.1	3.8	4.2	3	0.8	17.9	0.8	0.6	0.3	3.5	0.2	2.9	2	9.3
ABCC4	31.7	5.4	0.6	4.7	1.5	63	0.1	7	95.9	3.2	69.8	4.5	4.3	4.1	6.7	2.8	22.9	1.9	25.3
ABCC5	63.4	10.9	10.6	0.3	4.9	0.0147	18.8	52.9	3.1	46.7	11.6	0.1	1.7	11.3	2.1	19	1.5	1	3.5
ABCC6	2	1.9	2.2	3.6	91.9	27.8	0.6	21	8.9	3.7	2.2	287.2	8.6	0.6	29.9	7.7	1.2	2.1	5.8
ABCC9	0.1	52	1.1	0.2	0.8	0.0935	2.2	2.5	0.3	4.3	8.1	0.2	5.1	51.6	9.9	8.7	4.4	12.2	8.1
ABCD1	15.1	2.1	0.3	2.4	130	202.8	17.7	1.2	6.5	16.1	0.2	121.3	57	0.8	5.9	9.9	3.6	1.5	85.4
ABCD2	64.3	3.2	44.5	0.9	0.0598	70.9	0.2	1.2	9.9	0.5	0.0573	30.2	1.8	8	1.1	52.4	2.7	3	588.5
ABCD3	178.4	2.7	1.1	0.7	25.7	0.3	13.3	56.3	63.9	3.7	1.1	3.2	0.4	2.1	18.6	10.5	47.7	3.4	25.6
ABCD4	8.9	0.9	6.8	29.9	0.3	7.2	31.4	0.9	34	17.8	44.4	2.6	10.1	105	46.2	8.3	0.2	4.2	11.8
ABCE1	20.2	9.6	1	2	1.3	3.5	0.6	5.3	43.2	101.6	2.7	0.7	15.8	2.7	63.8	1.5	4.1	1.3	3.8
ABCF1	349.6	0.4	1.3	29.5	2.1	42.1	164.2	28.6	0.9	3.3	31	2.9	2.3	0.6	1.8	1.7	4.3	9.8	1.7
ABCF2	27.6	4.5	1.4	28.4	102.7	19	1.5	1.6	0.6	1	0.7	0.4	1.2	3.4	124.2	2.3	3.1	3.7	0.4
ABCF3	3.4	42.6	0.6	20.3	1.2	2.5	9.6	8.9	2.8	8.3	21.2	30.6	2.6	16.1	1.4	55.7	12.5	3.1	36.1
ABCG1	34.1	2.2	0.2	196.4	9.4	0.9	2.2	0.4	1.3	2	2.3	0.8	8.9	1.9	0.3	46.4	2.3	0.2	1.6
ABCG2	0.0259	40.2	4.5	255.3	307.8	4.3	111.2	3.1	0.6	68.3	2.2	0.3	98.1	3.5	2.6	5	65	1.8	3.5
ABCG4	1.6	16.4	0.8	0.5	0.3	30	13.5	0.4	97.6	45.2	15.1	2.9	11.2	0.5	2.8	1.7	4.5	47.7	62.1
ABCG5	0.6	2.1	3.3	1.1	0.7	1.4	7.4	0.2	5	69.4	1.3	5.6	14.5	0.9	20.5	0.1	12.7	5.2	1
ABCG8	6.7	196.2	0.0551	31.6	12.4	2.4	1.9	325.3	0.8	0.2	10	0.3	0.9	2.1	0.3	3.5	10.9	46.1	22.8
ABHD1	68.8	11.5	13	7.1	6.2	0.1	0.3	2.2	5.9	1.1	31.8	7.9	6	8.4	25.3	1.5	2.3	1.8	13.3
ABHD10	37.4	68.2	24.4	27.7	39.7	2.2	0.0705	1.1	8.9	0.4	8.3	0.5	22.8	6.2	58.6	11.8	2.3	2.8	0.6
ABHD11	32.7	11.2	2.6	6.1	49.1	3.3	17.6	907.6	5.5	7.2	19.5	0.9	5.3	19	4.8	0.4	0.5	48.7	11.7
ABHD12	6.3	40.9	38.3	5.8	127.5	2.1	6.3	5.5	101.4	1.7	2.2	2.3	1.2	1.3	66	0.4	5.2	1.8	58.6
ABHD12B	6.5	0.6	29.6	0.8	7.3	7.2	2.6	0.6	1.3	40.7	0.1	114.1	4.4	13.3	7.5	0.4	1.4	28.3	0.0805
ABHD13	1	2.3	2.4	0.3	4.1	0.8	7.9	257	1.3	1.9	8.6	6.6	13.4	2.3	4.1	6.9	5.6	1.1	11.1
ABHD14A	16.1	11.9	3.2	41.9	3	2.3	0.4	11.5	3.8	7.2	2.5	0.3	1.4	2.8	0.4	0.0896	0.7	3.5	45.4
ABHD14A.ACY1	3.2	59.7	9.8	0.7	0.2	76.4	40	0.0762	35	4.7	0.3	11.9	3	3.8	0.3	18.7	2.7	22.8	4.1
ABHD14B	2.7	13.9	0.2	0.1	2.2	16.4	6.8	8.8	1.2	4.8	10.8	14.3	51.8	97	2.5	11.2	3.3	6.2	27.3
ABHD15	71.9	3.1	0.0688	4.4	5.7	24.2	2.9	2.8	18.3	5.2	7.2	21.4	4	4	1.5	5.2	4.4	31.1	188
ABHD16A	0.2	0.8	741	5.9	6.7	1.8	0.3	7.6	15.6	0.3	13.4	2.3	64.6	106.8	8.6	3.5	9.6	6.8	3.2
ABHD16B	10.2	12.5	3.1	16.2	0.049	13.8	93.2	110.8	3.4	4.7	1.2	3.4	0.7	0.7	3.8	1.2	52.1	7.3	31.7
ABHD17A	4.3	0.00827	1.7	5.4	0.2	1.6	0.0468	14.1	0.1	3.8	44.8	883	2.4	17	1.1	53.2	2.1	7.6	6
ABHD17B	4.1	0.2	1.7	7.1	7.3	3.4	1.7	1.4	0.2	47.9	0.7	4.3	5	256.1	1.9	2	2.9	3.3	53.4
ABHD17C	1.5	7.4	14.8	2.3	3	6.1	96.2	2.7	10.8	12.7	2.5	0.5	0.6	0.4	5.2	0.9	3.2	29.1	2
ABHD2	2.5	41.8	2.2	14.6	13.6	3.9	21.7	4.3	0.5	20.9	5.9	3.6	1	4	32.3	2	17.1	0.4	9.6
ABHD3	24	3.9	1.8	12.5	5.9	4	10.2	0.4	2.5	11	20.3	4.4	5.1	3.8	19.3	2.4	7.7	0.3	2.3
ABHD4	1.4	20.8	15.9	14.8	3	2.6	42.6	7.6	16.6	8.1	53.8	1.5	1.2	1.9	15.3	15.7	2.7	1.5	3.1
ABHD5	4.3	700.4	5.2	44.4	0.0442	6	7.3	1.3	4.9	12.4	6.9	0.7	0.3	6.8	0.3	5.7	6.6	15	55.3
ABHD6	0.6	0.8	461.2	32.3	10.9	0.7	266.2	1.5	0.7	0.5	74	11.2	5.3	7	40.1	2.7	4.5	0.7	0.5
ABHD8	4.3	2	10.7	10.3	80.4	0.1	605.4	0.7	6.9	1.5	0.3	29.8	106.6	8.5	1.7	2.4	2.6	4.7	4.4
ABI1	1.5	2	0.7	1.1	69	4	2.2	6.7	2.7	7.3	49.5	15.1	12.8	0.1	0.5	18.1	1.6	15.4	24.4
ABI2	76.7	0.4	16.4	1.6	0.7	181.4	12.5	38	3	7.4	0.9	1.4	0.2	399.7	0.3	3.9	0.7	0.0347	1.4
ABI3	0.2	18.4	26.1	2.9	1	2.8	47.7	103.9	13.6	66.6	0.7	23.1	1.7	2.5	17.2	2.6	1.4	33.3	8.4
ABI3BP	0.9	1	4.1	0.1	5.5	0.3	2.6	4.7	2	0.9	10.8	1.2	0.7	2.6	1.8	32	10.4	0.3	4
ABL1	0.4	33.6	3.1	5.1	2.4	3	144.1	9.8	58.9	8.5	75	0.3	47.2	63.3	9.6	3	10.6	5.2	8.7
ABL2	6.2	0.5	1.1	2.2	0.3	0.3	4	5.9	0.2	4.5	4.8	0.4	17.7	6.7	1	1.4	5.2	0.2	12.8
ABLIM1	1.4	9.4	0.5	2.1	0.7	2.1	0.4	9.9	1.8	50.9	60.2	0.1	1.2	1.2	22.2	10.2	5.3	17.2	0.9
ABLIM2	55.3	35	9.7	9.9	2.5	0.2	13.4	15.5	0.7	4.5	2.9	12.6	2.2	12.7	1	30.5	1.3	1.5	82.2
ABLIM3	2.6	2.3	0.0578	0.2	3	2.3	2.4	25	132.1	12.5	0.9	11.3	2.3	313.2	17	3	19.7	24.1	0.5
ABR	7.3	12.8	66.7	1	11.7	13.7	9.7	11.9	0.0671	0.0356	98.1	6.7	10.4	16.1	5.6	7.8	2.8	53.2	14.1
ABRA	65.9	55.1	0.8	4.8	13	20.3	16.7	95.4	6.2	12.5	10	3.5	3.9	13.1	43	5.6	1.3	0.9	1.9
ABRACL	20	6.8	0.9	1.2	6.2	0.2	2.1	3	0.0953	3.6	0.9	0.2	58.4	22.7	315.8	5.7	4.4	1.6	83.1
ABT1	0.3	46.8	0.2	11.5	5.9	52.1	0.2	53.8	0.2	109.5	8.3	63.1	1.8	22.4	23.4	3.7	9.9	1.9	0.1
ABTB1	16.5	15.6	4	25.4	0.7	44.2	3.7	1.9	4.6	57.4	3.4	53.5	1.7	2.2	11.8	0.3	2.8	0.3	0.3
ABTB2	19.3	5.1	0.6	7.1	6.6	1.6	154	2.9	0.7	8.8	4.9	5.6	2.3	24.5	15.3	14.8	1.2	4.1	0.5
ACAA1	0.2	9.4	0.8	0.6	7.5	3.8	5.6	7.9	0.3	2.7	2.4	4.5	11.9	113	2.4	20	8.1	10.8	77.9
ACAA2	4.1	0.9	16.8	8.7	6.4	155.3	33.4	28.3	9.5	163.4	4.4	2.9	16.5	146.9	0.0371	2.9	7.4	0.9	6
ACACA	32.5	3.3	36.7	0.1	5.8	13.6	2	1.4	2.6	3.6	0.3	1.1	47.4	1.8	1	0.1	4.1	19.5	16.7
ACACB	4.9	10.8	9.7	3	3.5	4.7	3.1	0.4	5.6	44	14.2	16.7	0.9	0.9	0.4	8.6	44.4	51.2	2.2
ACAD10	13.1	3.8	36.8	0.1	36.3	1	0.7	2	23.7	0.0958	2.1	2.5	62.2	15.9	0.5	4.7	4	1.3	52.9
ACAD11	4.5	10.9	0.2	1.9	1.9	88.6	0.7	0.5	4.2	30.9	29.9	3.1	7.2	5	0.4	7.1	5.6	2.8	0.6
ACAD8	7.3	0.6	7.5	1.4	1.9	0.2	0.2	67.8	4.8	0.6	1.4	6.9	0.9	2.3	4.5	0.3	1.3	1.2	0.9
ACAD9	1.6	4.2	0.6	14.1	0.2	10	0.6	4	1.4	0.3	14.5	19.7	26.6	1.6	11	32.7	39.3	0.3	15.7
ACADL	1.3	3.2	27.9	24.4	49.6	13.3	0.1	6.2	16.4	100.3	2.2	28.6	0.4	44.1	1.6	3.9	3.5	1.1	15.4
ACADM	64.2	5.1	1.6	0.6	1.1	13.3	53.9	2.9	11.1	3.4	7.8	3.3	16.8	2.4	53.6	1.5	0.2	1.5	10.3
ACADS	0.8	0.5	0.6	0.5	0.1	1.8	5.9	7.4	0.0364	0.2	0.9	1	37	4.3	0.4	2.6	28.5	7.1	109.6
ACADSB	0.3	5.8	178	12.8	4.2	1.3	14	0.4	25	2.9	3.2	13.5	2	4.4	31.7	1.4	0.0975	5.6	18.5
ACADVL	4.1	4.1	1	3.1	17.6	2.5	4.7	34.9	34.9	3.9	0.5	1.6	2.2	2.3	164.7	0.8	24.9	17.7	5.1
ACAN	39.9	1.5	0.4	19	5.8	21.9	4.4	1.8	7.4	5.6	0.1	1.6	10.4	0.4	2.5	5.1	4.1	2.5	48.4
ACAP1	7.2	9	34.4	0.2	0.4	76.2	8.3	2.7	2.6	0.0588	3.6	26.7	4.6	1.6	5.2	0.8	1.8	20	4.5
ACAP2	0.3	11	11	1.8	3.2	0.9	67.5	57.9	2.3	4.5	4.4	0.1	1.9	0.3	6.4	6.2	0.6	5.5	0.5
ACAP3	11	4.5	0.4	10.5	0.8	37.1	1.6	343.4	0.4	1.7	0.7	0.7	1.3	3	13.9	2.6	3.2	23.1	1.7
ACAT1	1.4	1.5	16.3	11.5	1.8	1	4.2	1.2	1.2	176.3	23.4	0.4	3.9	9.5	1.2	13.6	146.7	1.7	11.9
ACAT2	0.5	2	1	140.2	3.7	52.9	18.2	0.4	0.7	0.1	22	54.2	3.2	0.5	3.4	3.2	3.9	2.2	2.2
ACBD3	1.6	0.2	15.6	2	21.1	1.2	0.7	0.5	3.6	6.2	14.6	1.3	6.5	6.3	0.0627	24.6	66.6	28.2	3.9
ACBD4	1.6	14.2	1.2	1.2	7.1	0.9	1.7	2.5	131.8	134.7	0.4	362	2.7	0.2	18.4	7.2	3.4	2.8	1.3
ACBD5	1.5	19.5	0.1	13.4	6.7	8.2	2.9	15.7	12.7	4.3	2.3	82.3	2.2	3.1	0.7	44.2	0.6	0.0445	0.3
ACBD6	0.7	7.4	2.5	25.3	0.5	1.3	9.4	2.1	1.1	1.3	3.3	0.4	7.6	13.9	1.1	10.7	1.5	5.6	21.3
ACBD7	0.0598	4.8	17.3	1.3	14	4.7	4.1	2.5	4	3.3	0.8	1.3	2	3.5	0.3	37.4	269.5	0.8	0.4
ACCS	4.4	0.6	8.4	10.1	7.9	45.3	135.6	17.7	53.6	0.5	26	5.4	3.4	11.6	1.4	0.3	2.7	1.2	33.3
ACCSL	30.9	0.2	0.0146	1.4	24.1	0.8	0.6	13.9	397.3	16.4	129.6	5.2	18.5	0.4	2.3	6.7	4.5	1.5	2.4
ACD	100.8	1.6	0.1	17.9	158.8	1	0.1	0.9	0.9	9.8	65.1	0.6	13.4	6.2	1.3	0.5	13.1	1.7	7.1
ACE	3.7	4.6	37.4	0.8	11.8	4.8	0.8	4.2	0.6	5.1	1.2	68.8	3.2	1.4	2.2	4.7	1.2	2.6	1.2
ACE2	0.8	0.9	4.1	64.2	3	2.2	13.2	0.3	4.2	4.7	2.5	12	0.9	0.4	11.9	19.7	0.1	17.1	0.6
ACER1	24.6	118.2	3.4	55.2	1.8	0.3	0.0267	12.8	1	0.0782	1.4	2.8	7.3	1	3	0.8	1.6	0.4	1.9
ACER2	68.3	0.7	25.2	58.9	0.1	48.3	0.4	10.7	0.2	1.5	0.2	29	2.8	0.7	3.5	343.7	1.3	4.5	4.2
ACER3	8	9.8	9.6	38.3	6.5	44.2	0.2	0.8	2.5	0.0346	15.7	55.9	0.5	2.6	0.3	3.2	80.6	6.9	2.4
ACHE	3.2	1.3	12.3	119.7	142.3	0.8	1.6	2.7	2.1	3.7	1.1	28	1.7	3.3	13	2.4	3	3.8	30.3
ACIN1	29.9	7.7	35.1	64.2	26.6	2.4	1.1	24.4	10.4	5.9	3.5	143.1	1.6	0.5	2	3.7	9.4	6.2	2.6
ACKR1	0.2	6	3.6	0.8	11.4	0.0875	70.6	9.4	10.9	5.5	0.3	0.5	1.8	53.4	1.8	8.7	6.1	57	76.1
ACKR2	2.2	4.1	3.8	26.3	94.1	1	3.5	3	2	2	0.8	3.4	5.5	7.9	18.1	0.6	5.5	0.2	1.1
ACKR3	0.5	8.5	0.7	0.4	71.2	3	61.4	1	1	1.8	1.2	1.8	38	0.8	0.1	8.9	3.6	1.6	17.5
ACKR4	3.9	14.1	0.1	4.6	0.0756	0.2	0.6	4.1	0.3	24.8	22.2	40	1.4	0.3	7.9	184.6	9.6	1.4	9.6
ACLY	87.6	6.3	17.2	1.5	7.8	3.3	5	0.4	32.8	26.3	12.4	5.5	6.1	0.8	5.3	0.2	49.1	0.0898	0.2
ACMSD	19.1	1.2	21.3	35.3	0.3	2.4	1	0.8	93.4	26.3	10.4	12	0.3	0.7	5.5	36.7	7.2	27	3.2
ACN9	66.8	29.5	4.9	0.5	4	1.4	14.3	1.2	0.2	56.7	20.8	2.8	29.1	9.2	0.7	20	3.1	1.5	15.9
ACO1	46.2	2.9	0.2	25.7	13.4	6	0.6	3.4	1.7	5	1.5	222.5	5.5	8.8	24.4	4.2	3.5	20	430
ACO2	0.4	32.2	0.4	0.1	1.3	17.5	241	3.3	0.3	4.5	0.6	12	1.6	1.6	16.8	3.5	8.6	7.9	0.6
ACOT1	1.1	0.9	11.1	21.1	1.5	0.5	1.9	15.1	8.3	8.9	0.7	0.3	2	88.6	9.5	46.2	4.8	9.1	29.2
ACOT11	25	19.4	5.5	3.2	0.9	0.7	13.3	3.7	7.7	1.3	0.8	29.9	0.8	0.2	1	0.4	2.9	6.6	0.1
ACOT12	8.2	71.8	2.6	18.7	6.8	5.7	8.8	10.4	3	13.8	0.6	0.4	0.9	163	0.0712	28.8	3.7	3.3	14.1
ACOT13	7.8	7.6	0.7	44.1	1.7	0.4	0.7	1.4	2.2	34.3	29.7	0.4	49.9	2.4	1.1	2	8.6	33.7	5.6
ACOT2	200.8	1	1.6	1.3	2.1	2.1	1.2	7	10.1	304.9	8.4	2.9	3.9	1	1.3	13.3	10.8	88.8	210
ACOT4	4.4	6.6	0.6	143.5	1.7	2.9	109.2	1.5	15.3	15.4	1.7	1	75.1	2.1	16	2.2	5.3	1.6	0.7
ACOT6	108.5	4	0.9	0.0464	0.7	0.1	3.8	1.1	6.6	22.5	28	1.2	90.1	5.4	0.3	0.1	13.6	11.6	13.2
ACOT7	30.3	0.4	1.9	1.9	1.1	3.1	2.2	0.3	17.3	2.6	0.2	4	3	37.6	19.5	12.2	3.1	0.4	3
ACOT8	10.4	1.8	6.6	25.6	57.2	30.3	2.4	3.7	10.3	0.8	21.6	23	2.1	27.5	24	32.3	1	0.2	209
